Strain,Rating,NumReviews,Effmedneg,Strain_description,Flavours,Review_breakdown,THC,Lean
Laughing Buddha,4.5,190,"['Happy 100', 'Giggly 86.2324218378337', 'Uplifted 76.0746703202603', 'Euphoric 71.4410762877966', 'Creative 44.0048714582025', 'Depression 100', 'Stress 86.5991706205402', 'Fatigue 43.2995853102701', 'Pain 25.4156237157694', 'Insomnia 24.817872753764', 'Dry Mouth 100', 'Anxious 47.6148844325447', 'Dry Eyes 41.8720288508825', 'Paranoid 34.5718813179608', 'Dizzy 7.67171192830993']","Laughing Buddha is an award-winning sativa (2003 High Times Cannabis Cup) from Barney's Farm that grows fast and tall. An earthy cross between Thai and Jamaican strains with a sweet, fruity smell that is broken up by hints of spice and provides a rich pungent smoke that will leave consumers feeling happy, upbeat, and will leave them giggling even when battling depression. The oversized colas often need pruning and extra support, but the added work pays off come harvest time when full, frosty buds cover almost the entire plant.","['Earthy', 'Spicy/Herbal', 'Sweet']","[100.0, 42.1393841166937, 10.8589951377634, 4.86223662884927, 3.07941653160454, 1.13452188006483]",21.5,0.0
Laughing Gas,4.57142857142857,7,"['Hungry 100', 'Aroused 94.1176470588235', 'Happy 29.4117647058824', 'Relaxed 29.4117647058824', 'Euphoric 23.5294117647059', 'Stress 100', 'Depression 75', 'Inflammation 75', 'Insomnia 75', 'Pain 75', 'Dry Eyes 100', 'Anxious 50']","Laughing Gas by TKO Reserve is a fuel-forward cross of Sour Diesel and Cherry Pie. This pungent pair creates a strain that emits a powerful fuel aroma intermixed with notes of  grass, pine, and a distant sweetness. The dense, knobby buds offer consumers stimulating, happy, and creative effects that can help diminish depression and initiate activity.","['Diesel', 'Citrus', 'Lemon']","[100.0, 62.5218914185639, 12.4343257443082, 0.0, 0.0, 0.0]",,0.39
Lavender,4.17429837518464,695,"['Relaxed 100', 'Sleepy 66.3517356862937', 'Happy 63.9894362262899', 'Euphoric 57.6245349949254', 'Uplifted 36.4908506176969', 'Stress 100', 'Insomnia 78.235980656978', 'Pain 64.1635071062326', 'Muscle Spasms 38.3215198333827', 'Depression 37.2934977201641', 'Dry Mouth 100', 'Dry Eyes 86.5291939418402', 'Headache 29.0476274046236', 'Dizzy 20.645327891252', 'Anxious 18.0640163262441']","Built from strains around the world, Lavender by Soma Seeds has its origins from Super Skunk, Big Skunk Korean and Afghani Hawaiian. This strain, sometimes referred to as Lavender Kush, has dense buds that give off a floral and spicy aroma. It has a dark purple coloration at the ends of its leaves.","['Lavender', 'Flowery', 'Sweet']","[100.0, 82.6086956521739, 34.5410628019324, 7.0048309178744, 5.55555555555556, 11.8357487922705]",14.0,0.8
Lavender Haze,4.096774193548391,31,"['Energetic 100', 'Creative 91.0526315789474', 'Hungry 87.3684210526316', 'Euphoric 20.5263157894737', 'Happy 20', 'Stress 100', 'Depression 99.4845360824742', 'Pain 13.4020618556701', 'Lack of Appetite 3.09278350515464', 'Inflammation 2.57731958762887', 'Dry Mouth 100', 'Dry Eyes 15.1351351351351', 'Headache 11.8918918918919', 'Paranoid 11.3513513513514', 'Anxious 11.3513513513514']","Lavender Haze is a lovely cross of G-13 Haze and Lavender. It’s known for its dense flowers that usually include shades of purple. The buds have a strong floral aroma that will make you think of a fresh sprig of lavender blooms. This hybrid has some great balanced effects to both lift your mood and provide some strong body relaxation. Light enough to pursue energetic activities but strong enough to erase pain and maybe ease you to sleep, Lavender Haze is a great daytime choice. Plants of this strain can be grown both indoors and out, with indoor flowering happening between 8 and 9 weeks.","['Lavender', 'Earthy', 'Blueberry']","[100.0, 85.1351351351351, 15.0900900900901, 15.0900900900901, 4.95495495495496, 4.95495495495496]",14.0,0.4
Lavender Jones,4.41095890410959,147,"['Relaxed 100', 'Happy 62.0071684587814', 'Uplifted 41.8527708850289', 'Euphoric 41.053212020954', 'Creative 32.1477805348773', 'Pain 100', 'Stress 98.9327641408751', 'Depression 81.2166488794024', 'Insomnia 72.6787620064034', 'Lack of Appetite 50.3735325506937', 'Dry Mouth 100', 'Paranoid 44.28208386277', 'Dry Eyes 38.1829733163914', 'Anxious 17.725540025413', 'Dizzy 1.27064803049555']","Lavender Jones, also called Purple Jones, is a hybrid strain that expresses itself in vibrant hues of purple and green. Its Purple Urkle parent passes on more than just its colorful display and dense bud structure; deep relaxation typical of indica varieties comes through, coupled with dreamy cerebral euphoria inherited from its hybrid parent, Casey Jones.","['Lavender', 'Earthy', 'Flowery']","[100.0, 62.624254473161, 24.2544731610338, 7.15705765407555, 1.98807157057654, 2.98210735586481]",,0.42
Lazy Train,,0,[],"Lazy Train is a rare indica-dominant hybrid of Qrazy Train and Lavender. This strain produces olive green buds with dainty amber hairs and emits a strong floral aroma. The effects hit slowly, creeping over the consumer's body as blissful and weighed relaxation. Lazy Train has been known to produce upwards of 20% THC and dense coats of resin. Its herbal, woodsy aroma and pleasant physical effects make it ideal for mood enhancement, stress reduction, and minor physical discomfort.",[],[],,0.6
Le Silver Royale,4.27272727272727,10,"['Uplifted 100', 'Euphoric 57.1428571428571', 'Happy 57.1428571428571', 'Relaxed 57.1428571428571', 'Talkative 42.8571428571429', 'Stress 100', 'Depression 75', 'Pain 25', 'Dry Eyes 100']","Le Silver Royal is grown solely by Kleen Karma Gardens in Oregon. This wondrous cross of Green Queen and Super Silver Haze blends bright cerebral qualities with the hazy energy of its recessive Green Crack and Super Silver Haze genetics. A 60/40 sativa-dominant hybrid, this stimulating strain is ideal for physical activity or rising above the cloud cover the Pacific Northwest is known for.","['Skunk', 'Cheese', 'Woody']","[100.0, 71.5613382899628, 0.0, 14.3122676579926, 0.0, 0.0]",,0.4
Leda Uno,5.0,4,"['Creative 100', 'Euphoric 100', 'Uplifted 50', 'Energetic 50', 'Giggly 50', 'Cramps 100', 'Nausea 100', 'Pain 100', 'Stress 100']","A Cannabis Cup finalist in the sativa category, Leda Uno will undoubtedly raise your spirits. The team at KC Brains took its KC 33 crossed with a Brazilian female landrace and crossed it once more with its KC 606 and Leda hybrid. The result is a smooth lemony hybrid with beautiful chunky, light green buds. Best when grown in soil, this plant can shoot to 10 feet outdoors and produces considerable yields.",[],"[100.0, 0.0, 20.0480192076831, 0.0, 0.0, 0.0]",,0.18
Lee Roy,4.73529411764706,34,"['Relaxed 100', 'Euphoric 57.9617834394905', 'Uplifted 51.1677282377919', 'Happy 43.7367303609342', 'Hungry 32.2717622080679', 'Stress 100', 'Depression 86.1313868613139', 'Pain 65.6934306569343', 'Insomnia 55.1094890510949', 'Lack of Appetite 36.8613138686131', 'Dry Mouth 100', 'Dry Eyes 13.4615384615385', 'Headache 13.4615384615385', 'Paranoid 2.56410256410256']","Lee Roy by Rare Dankness Seeds is a connoisseur-grade indica-dominant strain with incredible trichome production. Created by blending Triangle Kush with Rare Dankness #2, Lee Roy offers a Kush-forward aroma intermixed with lemon and lime. The plants prefer cooler temperatures and the yield is healthy if not generous. Utilize Lee Roy to contend with ADD/ADHD, depression, gastrointestinal disorders, and nausea. Rare Dankness Seeds also noted that this resinous strain is well-suited for hash production.","['Earthy', 'Pungent', 'Citrus']","[100.0, 29.2786421499293, 2.4045261669024, 9.75954738330976, 0.0, 0.0]",,0.7
Legalized OG,4.77777777777778,18,"['Relaxed 100', 'Happy 64.1025641025641', 'Uplifted 58.974358974359', 'Sleepy 56.4102564102564', 'Talkative 51.2820512820513', 'Stress 100', 'Depression 77.2727272727273', 'Pain 77.2727272727273', 'Fatigue 63.6363636363636', 'Insomnia 40.9090909090909', 'Dry Mouth 100', 'Dry Eyes 61.9047619047619', 'Dizzy 28.5714285714286', 'Paranoid 28.5714285714286']","Legalized OG is a popularized cut of the famous OG Kush. This strain’s flavor is piney with fruity nuances that some might describe as grape or berry. The effects set in immediately and envelop the body from the head down with a sedating buzz that lingers and weighs on the body. Legalized OG stays true to its OG roots and would be an ideal cut for patients seeking relief from chronic pain, nausea, or restlessness.","['Diesel', 'Pungent', 'Spicy/Herbal']","[100.0, 25.0, 0.0, 0.0, 0.0, 0.0]",21.0,0.5
Legend OG,4.653846153846151,26,"['Relaxed 100', 'Sleepy 61.2648221343874', 'Euphoric 35.7707509881423', 'Hungry 26.4822134387352', 'Uplifted 25.4940711462451', 'Pain 100', 'Insomnia 90.6432748538012', 'Stress 86.2573099415205', 'Inflammation 65.2046783625731', 'Lack of Appetite 50', 'Dry Mouth 100', 'Dry Eyes 79.1666666666667', 'Dizzy 6.94444444444444', 'Headache 6.94444444444444']","Legend OG is a presumed OG Kush phenotype that offers a fresh take on a classic. Known for tart, floral, and pungent terpenes, Legend OG stays true to its Kush background. Heavy in effect in large doses, Legend OG works hard to relax the consumer by elevating the mind while helping sooth aches and pains throughout the body. Its sleepy qualities also make it a solid choice before bedtime, but monitor your dosage, as high-THC varieties can overstimulate some minds.","['Diesel', 'Lavender', 'Pungent']","[100.0, 37.9066478076379, 3.39462517680339, 0.0, 0.0, 0.0]",,0.75
Legend of Nigeria,5.0,7,"['Happy 100', 'Uplifted 85.1851851851852', 'Energetic 85.1851851851852', 'Focused 74.0740740740741', 'Relaxed 59.2592592592593', 'Depression 100', 'Stress 63.1578947368421', 'Fatigue 42.1052631578947', 'Headaches 21.0526315789474', 'Lack of Appetite 21.0526315789474', 'Dry Eyes 100', 'Dry Mouth 100', 'Paranoid 100']","Legend of Nigeria by Swamp Boys Seeds is a cross of SBS’s clone-only Legend OG and its own beloved Nigerian strain. This sativa-dominant hybrid sprouts medium-sized plants that need space to stretch and flower. Legend of Nigeria produces dense buds that gives off a potent blueberry and fuel aroma that is just as rich on the palate. This strain produces a larger-than-average yield with proper vegetative staging and training, and has an approximate 63-day flowering time.","['Citrus', 'Earthy', 'Woody']","[100.0, 28.5347043701799, 0.0, 0.0, 0.0, 0.0]",,0.01
Legendary Lemon,4.0,2,"['Aroused 100', 'Euphoric 100', 'Relaxed 100', 'Creative 66.6666666666667', 'Sleepy 33.3333333333333', 'Depression 100', 'Inflammation 50', 'Insomnia 50', 'Nausea 50', 'Pain 50', 'Dry Eyes 100', 'Dry Mouth 100']","Legendary Lemon is a sativa-dominant strain that blends two Mexican speed demons, Zacatecas and Oaxaca, with two zesty zingers, Lemon Skunk and Lemon Kush. This tangy bud hits hard with a strong cerebral buzz and offers whimsical euphoria that makes consumers feel light on their feet. Enjoy this strain to defeat depression or to frontload strong mood enhancing effects. The flavor has been described as “rich lemon custard.""","['Apricot', 'Chemical', 'Blueberry']","[100.0, 60.0, 20.0, 0.0, 20.0, 0.0]",19.0,0.30000000000000004
Lem Chem,4.66666666666667,6,"['Uplifted 100', 'Euphoric 87.5', 'Happy 87.5', 'Focused 70.8333333333333', 'Sleepy 62.5', 'Depression 100', 'Insomnia 100', 'Lack of Appetite 100', 'Stress 100', 'Paranoid 100', 'Anxious 100', 'Dry Mouth 41.6666666666667']","Lem Chem is a potent hybrid that is both sweet and sour, with distinct fuel/chemical nuances in flavor that denote its Chemdawg parentage. The buds have deep green foliage and tan/rusty pistils that also demonstrate the Chemdawg in this strain. Anticipate uplifted, mood-altering effects that settle in the limbs. The strain is neither sedative or active, but rather a balanced hybrid that reduces physical discomfort in such a way that promotes physical activity and wellbeing. Lem Chem can be very strong, so mind your dosage.",['Citrus'],"[100.0, 28.5714285714286, 14.2857142857143, 0.0, 0.0, 0.0]",,0.47
Lemon Alien Dawg,4.49253731343284,67,"['Relaxed 100', 'Happy 87.3218304576144', 'Euphoric 81.5078769692423', 'Uplifted 64.5911477869467', 'Focused 39.2348087021755', 'Stress 100', 'Pain 87.8682842287695', 'Depression 74.3500866551127', 'Nausea 65.8578856152513', 'Insomnia 56.1525129982669', 'Dry Mouth 100', 'Dry Eyes 80.7980049875312', 'Headache 38.6533665835411', 'Dizzy 3.49127182044888', 'Anxious 1.74563591022444']","Lemon Alien Dawg comes from Alien Genetics, who crossbred an Alien Dawg female with Lemon Kush to create this pungent hybrid cannabis strain. Large chunky buds radiate with sweet and sour fruity notes dominated by the zesty scent of lemon. Leaning slightly to the indica side of the genetic spectrum, Lemon Alien Dawg lets your body sink into deep relaxation while the mind floats away to happy escapes.","['Lemon', 'Sweet', 'Earthy']","[100.0, 57.1180555555556, 16.3194444444444, 0.0, 0.0, 0.0]",,0.51
Lemon Banana Sherbet,4.2,5,"['Happy 100', 'Focused 87.5', 'Relaxed 87.5', 'Talkative 50', 'Euphoric 50', 'Depression 100', 'Stress 100', 'Insomnia 60', 'Lack of Appetite 60', 'Fatigue 40', 'Dry Eyes 100', 'Dry Mouth 100']","Bred by Crockett Family Farms, Lemon Banana Sherbet is a sativa-dominant hybrid of Lemon Skunk and Sour Banana Sherbet. With light green buds and orange hairs, it expresses a zesty fruity aroma with flavors of citrus and ripe banana. Lemon Banana Sherbet delivers relaxing effects that elevate mood while sparking an appetite.","['Flowery', 'Skunk', 'Lemon']","[100.0, 100.0, 50.0, 0.0, 0.0, 0.0]",,0.26
Lemon Bananas,4.66666666666667,9,"['Uplifted 100', 'Happy 90.625', 'Giggly 84.375', 'Tingly 81.25', 'Euphoric 78.125', 'Depression 100', 'Stress 100', 'Lack of Appetite 85.7142857142857', 'Fatigue 3.57142857142857', 'Dry Mouth 100']",Lemon Bananas is a hybrid strain that achieved fame in the 2015 SoCal Cannabis Cup when Dabblicious Extracts processed it into an extract worthy of 1st place in the Best Hybrid Concentrate category.,"['Tree Fruit', 'Flowery', 'Spicy/Herbal']","[100.0, 0.0, 0.0, 9.05125408942203, 0.0, 0.0]",24.0,0.5
Lemon Bubble,4.611111111111111,38,"['Uplifted 100', 'Happy 65.0205761316873', 'Energetic 63.3744855967078', 'Euphoric 52.6748971193416', 'Creative 42.3868312757202', 'Pain 100', 'Muscle Spasms 96.551724137931', 'Nausea 86.2068965517241', 'Eye Pressure 82.7586206896552', 'Seizures 79.3103448275862', 'Paranoid 100', 'Anxious 100', 'Dry Mouth 6.45161290322581', 'Dizzy 1.0752688172043', 'Dry Eyes 1.0752688172043']","Lemon Bubble from Pheno Finder Seeds is an award-winning strain that combines Super Lemon Haze with Silver Bubble to create a potent sativa that is applauded for its emphasis on flavor. Recently, Lemon Bubble took 3rd place in the Sativa Cup at the 2014 High Times Cannabis Cup. Its citrus flavors are highlighted by sweet lemons and finish with an earthy Haze undertone to produce happy thoughts and a soothing sense of euphoria.","['Lemon', 'Woody', 'Pine']","[100.0, 33.3815028901734, 2.74566473988439, 2.74566473988439, 0.0, 5.49132947976879]",20.0,0.19999999999999996
Lemon Cake,4.36666666666667,60,"['Uplifted 100', 'Happy 80.9421380942138', 'Relaxed 74.2955474295547', 'Euphoric 73.7147773714777', 'Energetic 61.9703161970316', 'Stress 100', 'Depression 74.9308755760369', 'Pain 73.4101382488479', 'Muscle Spasms 64.1935483870968', 'Lack of Appetite 62.5806451612903', 'Dry Mouth 100', 'Dry Eyes 71.4646464646465', 'Dizzy 44.1498316498316', 'Headache 20.03367003367', 'Paranoid 12.8367003367003']","Lemon Cake by Heavyweight Seeds is a potent sativa-dominant strain with sweet and musky aromas. Also known as Lemon Cheesecake, Lemon Cake is the cross of Lemon Skunk and a “dangerously powerful Cheese,” according to HS. With a nine to ten week flowering time, squat morphology, and abundant yield, Lemon Cake is kind to growers, especially those outdoors. This strain emits a pungent citrus aroma with a musky Cheese undertone. Heavyweight Seeds recommends consuming this strain to combat stress, loss of appetite, and minor physical discomfort.","['Lemon', 'Cheese', 'Earthy']","[100.0, 44.6551724137931, 19.1379310344828, 6.37931034482759, 2.06896551724138, 0.0]",17.0,0.19999999999999996
Lemon Créme,5.0,3,"['Creative 100', 'Happy 100', 'Talkative 50', 'Energetic 50', 'Focused 50', 'Eye Pressure 100', 'Headaches 100', 'Dry Mouth 100']","Lemon Créme is a unique and unstable sativa-dominant strain created by Love Genetics. It was brought into existence by crossing Lemon Jack with DNA Genetics’ Sour Cream (a Sour Diesel heirloom x G15 Haze). The breeder notes that this strain is prone to produce three distinct phenotypes with varied aromas, such as Earl Grey tea, lemon Pinesol, and American sweet tea. Lemon Créme is a rare cut due to its instability, but has gone on to influence other Love Genetics’ crosses like Prometheus. This strain has an approximate flowering time of 69 to 77 days.",['Lemon'],"[100.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.29
